date,value
02-Jan-08,4
03-Jan-08,3
04-Jan-08,3
05-Jan-08,9
06-Jan-08,6
07-Jan-08,3
08-Jan-08,5
09-Jan-08,8
10-Jan-08,4
11-Jan-08,6
12-Jan-08,9
13-Jan-08,23
14-Jan-08,5
15-Jan-08,4
16-Jan-08,3
17-Jan-08,11
18-Jan-08,6
19-Jan-08,15
20-Jan-08,19
21-Jan-08,4
22-Jan-08,3
23-Jan-08,1
24-Jan-08,3
25-Jan-08,1
26-Jan-08,9
27-Jan-08,9
28-Jan-08,8
29-Jan-08,1
30-Jan-08,2
31-Jan-08,3
01-Feb-08,15
02-Feb-08,17
03-Feb-08,9
04-Feb-08,4
05-Feb-08,4
06-Feb-08,1
07-Feb-08,2
08-Feb-08,3
09-Feb-08,17
10-Feb-08,16
11-Feb-08,7
12-Feb-08,1
13-Feb-08,5
14-Feb-08,7
15-Feb-08,5
16-Feb-08,12
17-Feb-08,10
18-Feb-08,7
19-Feb-08,1
20-Feb-08,2
21-Feb-08,3
22-Feb-08,5
23-Feb-08,16
24-Feb-08,9
25-Feb-08,3
26-Feb-08,6
27-Feb-08,8
28-Feb-08,3
29-Feb-08,6
01-Mar-08,6
02-Mar-08,9
03-Mar-08,7
04-Mar-08,10
05-Mar-08,2
06-Mar-08,3
08-Mar-08,17
09-Mar-08,18
10-Mar-08,3
11-Mar-08,5
13-Mar-08,3
14-Mar-08,7
15-Mar-08,14
16-Mar-08,19
17-Mar-08,2
18-Mar-08,4
19-Mar-08,7
20-Mar-08,5
21-Mar-08,4
22-Mar-08,17
23-Mar-08,24
24-Mar-08,5
25-Mar-08,2
26-Mar-08,6
27-Mar-08,1
28-Mar-08,12
29-Mar-08,11
30-Mar-08,24
31-Mar-08,6
01-Apr-08,10
02-Apr-08,8
03-Apr-08,4
04-Apr-08,8
05-Apr-08,18
06-Apr-08,20
07-Apr-08,4
08-Apr-08,2
09-Apr-08,2
10-Apr-08,6
11-Apr-08,12
12-Apr-08,24
13-Apr-08,18
14-Apr-08,2
15-Apr-08,5
16-Apr-08,4
17-Apr-08,5
18-Apr-08,7
19-Apr-08,10
20-Apr-08,11
21-Apr-08,3
22-Apr-08,1
23-Apr-08,3
24-Apr-08,8
25-Apr-08,11
26-Apr-08,19
27-Apr-08,18
28-Apr-08,4
29-Apr-08,1
30-Apr-08,5
01-May-08,4
02-May-08,5
03-May-08,13
04-May-08,10
05-May-08,6
06-May-08,2
07-May-08,4
08-May-08,7
09-May-08,6
10-May-08,18
11-May-08,13
12-May-08,6
13-May-08,3
14-May-08,3
16-May-08,3
17-May-08,19
18-May-08,16
19-May-08,7
20-May-08,1
21-May-08,2
22-May-08,3
23-May-08,4
24-May-08,17
25-May-08,13
26-May-08,8
27-May-08,5
28-May-08,9
29-May-08,5
30-May-08,7
31-May-08,3
01-Jun-08,7
02-Jun-08,2
03-Jun-08,3
04-Jun-08,1
05-Jun-08,6
06-Jun-08,6
07-Jun-08,11
